ano,mes,sku,conta,seller_id,status,unidades,receita,comissao,frete,custo,pedidos
2020,12,SG200,(sem conta),-100,paid,3.0,467.0,69.62,149.85,288.0,3
2020,12,SGF,(sem conta),-100,paid,4.0,422.4,69.68,68.3,195.28,4
2020,12,SIG10,(sem conta),-100,paid,1.0,1785.0,267.75,31.95,1669.09,1
2020,12,SLANPB10,(sem conta),-100,paid,2.0,90.0,20.36,0.0,67.04,2
2020,12,SLAPB10,(sem conta),-100,paid,11.0,252.0,131.23,29.7,178.56,6
2020,12,SLCH,(sem conta),-100,paid,4.0,144.0,51.68,0.0,0.0,3
2020,12,SP3,(sem conta),-100,paid,2.0,210.0,24.16,43.8,118.72,2
2020,12,SPACE50,(sem conta),-100,paid,1.0,998.0,114.77,64.95,690.25,1
2020,12,SPACE80,(sem conta),-100,paid,1.0,1179.0,194.54,74.95,784.3,1
2020,12,SPX17MC,(sem conta),-100,paid,1.0,460.0,75.9,21.95,271.99,1
2020,12,SPX19RC,(sem conta),-100,paid,2.0,1198.0,197.68,43.9,727.94,2
2020,12,SS3,(sem conta),-100,cancelled,1.0,1259.0,0.0,15.45,856.55,1
2020,12,SS3,(sem conta),-100,paid,24.0,31216.0,3801.1,370.8,20557.2,24
2020,12,STG30BK,(sem conta),-100,paid,2.0,736.4,84.69,43.9,598.0,2
2020,12,STKP1,(sem conta),-100,paid,1.0,58.0,11.67,0.0,22.23,1
2020,12,Se49,(sem conta),-100,paid,2.0,1892.5,265.68,63.9,1340.8,2
2020,12,T270,(sem conta),-100,paid,1.0,445.0,51.18,63.9,326.0,1
2020,12,T30,(sem conta),-100,paid,2.0,1352.0,223.08,63.9,818.0,2
2020,12,TCREF13,(sem conta),-100,paid,1.0,219.0,25.18,15.45,112.63,1
2020,12,TD-1K,(sem conta),-100,paid,1.0,4290.0,707.85,64.95,2447.98,1
2020,12,TDL1,(sem conta),-100,paid,1.0,719.0,82.68,16.95,693.72,1
2020,12,TG500MPP,(sem conta),-100,paid,1.0,820.0,135.3,49.95,541.0,1
2020,12,TPES,(sem conta),-100,paid,3.0,114.0,28.11,23.35,95.52,3
2020,12,TPS,(sem conta),-100,cancelled,2.0,95.8,0.0,29.8,55.26,2
2020,12,TPS,(sem conta),-100,paid,14.0,390.9,165.56,70.26,221.04,8
2020,12,TW29BK,(sem conta),-100,paid,1.0,794.0,131.01,31.95,507.97,1
2020,12,Talent2,(sem conta),-100,paid,4.0,5100.0,715.0,127.8,3348.8,4
2020,12,UDX02,(sem conta),-100,cancelled,3.0,1763.0,0.0,65.85,1108.17,3
2020,12,UDX02,(sem conta),-100,paid,35.0,19992.0,2852.25,768.25,12559.26,34
2020,12,UK21S,(sem conta),-100,cancelled,1.0,268.0,0.0,16.95,144.0,1
2020,12,UK21S,(sem conta),-100,paid,2.0,536.0,88.44,33.9,288.0,2
2020,12,Ui16,(sem conta),-100,paid,9.0,24328.8,3649.32,287.55,19330.65,9
2020,12,VE5RD,(sem conta),-100,paid,1.0,1940.0,320.1,17.45,1385.16,1
2020,12,VE8,(sem conta),-100,paid,2.0,5480.0,904.2,34.9,3699.1,2
2020,12,VIG134,(sem conta),-100,paid,1.0,348.0,57.42,15.45,252.05,1
2020,12,VM15BK,(sem conta),-100,paid,2.0,728.0,102.62,60.8,459.7,2
2020,12,VM15NY,(sem conta),-100,paid,1.0,350.5,40.31,49.95,229.85,1
2020,12,VORAX2100BK,(sem conta),-100,paid,4.0,5362.0,884.72,310.7,4785.0,4
2020,12,VRF1220,(sem conta),-100,paid,3.0,2937.0,440.55,311.75,1884.0,3
2020,12,Vorax1050,(sem conta),-100,paid,2.0,799.0,183.76,119.88,719.25,1
2020,12,WHAMMY,(sem conta),-100,paid,1.0,845.0,97.18,0.0,563.04,1
2020,12,X10S,(sem conta),-100,cancelled,4.0,252.84,0.0,21.9,156.0,4
2020,12,X10S,(sem conta),-100,paid,34.0,1843.68,445.81,535.4,1131.0,29
2020,12,X18,(sem conta),-100,paid,3.0,13788.0,1618.3,108.63,10280.25,3
2020,12,XN10,(sem conta),-100,paid,1.0,52.0,13.32,16.95,34.39,1
2020,12,XN25,(sem conta),-100,paid,12.0,382.5,182.4,55.7,281.22,6
2020,12,XN30,(sem conta),-100,paid,9.0,202.2,142.02,0.0,152.91,3
2020,12,XS1,(sem conta),-100,paid,1.0,315.0,47.25,16.95,233.97,1
2020,12,Xr18,(sem conta),-100,paid,2.0,10980.0,1098.0,43.9,7224.5,2
2020,12,ZCHH14,(sem conta),-100,cancelled,1.0,658.0,0.0,21.95,565.17,1
2020,12,ZCHH14,(sem conta),-100,paid,3.0,2052.5,305.97,83.3,1695.51,3
2020,12,ZCR20,(sem conta),-100,cancelled,1.0,838.0,0.0,26.34,709.0,1
2020,12,ZCR21,(sem conta),-100,paid,2.0,2109.0,296.54,43.9,1982.58,2
2020,12,ZM17,(sem conta),-100,paid,1.0,248.0,28.52,17.45,173.51,1
2020,12,ZMHH14,(sem conta),-100,cancelled,1.0,378.5,0.0,17.45,253.74,1
2020,12,ZMHH14,(sem conta),-100,paid,3.0,1135.5,130.59,52.35,761.22,3
2020,12,ZMR20,(sem conta),-100,paid,1.0,397.0,65.5,21.95,218.05,1
2020,12,Zhch18,(sem conta),-100,paid,1.0,648.0,74.52,21.95,459.27,1
